Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,170.12501525878906,171.325829928709,169.08983891329257,170.91175939051038,121465900
2015-01-05,167.05262756347656,169.24719647462058,166.74621939305322,169.08157077807908,169632600
2015-01-06,165.47911071777344,167.88071412827958,164.68408994172034,167.35898134910641,209151400
2015-01-07,167.5412139892578,167.88075485287703,166.3569783519322,166.80416895939857,125346700
2015-01-08,170.51422119140625,170.72954593158084,168.93248153754053,168.94903525876288,147217800
2015-01-09,169.14776611328125,170.9448302148578,168.53493734422247,170.92826385990315,158567300
2015-01-12,167.82275390625,169.43763882404554,167.21821456736416,169.28029002598933,144396100
2015-01-13,167.3507537841797,170.16642844907784,166.0505662011731,169.04015605583254,214553300
2015-01-14,166.34043884277344,166.53919727619112,164.44400109008578,165.3383824493862,192991100
2015-01-15,164.81663513183594,167.29276878135636,164.7006958904179,166.97808377546713,176613900
2015-01-16,166.9780731201172,167.1354219312357,164.42739733525644,164.60958936534854,211879600
2015-01-20,167.33412170410156,167.8806976441935,165.76893615669306,167.61568653272155,130991100
2015-01-21,168.1789093017578,168.65923269382154,166.4066877141447,166.87044474470795,122942700
2015-01-22,170.67990112304688,170.81239410728207,167.55780535690744,168.9325227393534,174356000
2015-01-23,169.74404907226562,170.67985237585975,169.61154348944333,170.42311807048108,117516800
2015-01-26,170.14158630371094,170.23268233008037,168.81656812684636,169.5287699776171,92009700
2015-01-27,167.89732360839844,169.04014968220312,167.0691825456615,168.08779251462758,134044600
2015-01-28,165.744140625,169.18092074926022,165.55367173160218,169.08154787208377,168514300
2015-01-29,167.2761993408203,167.53292102009297,164.5350421112368,165.9428918715796,173585400
2015-01-30,165.17271423339844,167.42525868672465,164.9077156934692,166.1002407142217,197729700
2015-02-02,167.2182159423828,167.30931195061558,163.85596577085477,165.66959643885335,163107000
2015-02-03,169.63638305664062,169.64467255315608,167.7399459094598,168.11260679625465,124212900
2015-02-04,168.9904022216797,170.08355409526646,168.53492227435189,168.87446302021672,134306700
2015-02-05,170.6964111328125,170.84548307699293,169.57842841538633,169.65295806926244,97953200
2015-02-06,170.22438049316406,171.62394076730268,169.70264763355704,171.06079833152506,125672000
2015-02-09,169.4624786376953,170.2988964085735,169.05668504224863,169.57841785976186,87219000
2015-02-10,171.26788330078125,171.52460505657413,169.50393846249426,170.49771803340263,96164200
2015-02-11,171.36721801757812,171.79785489325087,170.45627046247458,171.10221945776905,91087800
2015-02-12,173.01516723632812,173.07314315540543,171.40029527066008,172.16218325865665,97545900
2015-02-13,173.72740173339844,173.77708816692638,172.88269445414045,173.13942875474757,93670400
2015-02-17,174.00070190429688,174.1746170702164,173.1642840631735,173.41271624816068,76968200
2015-02-18,174.01727294921875,174.09180260672233,173.3630344806547,173.62804566701706,80652900
2015-02-19,173.89309692382812,174.2574810973065,173.28028048337146,173.4210629801367,91462500
2015-02-20,174.9365234375,175.01105310074223,172.8578812732589,173.4789870731372,140896400
2015-02-23,174.91168212890625,174.91168212890625,174.30713004551836,174.68808050030484,74411100
2015-02-24,175.40858459472656,175.6073430307594,174.5390338121766,174.83716514800997,72472300
2015-02-25,175.25949096679688,175.76465750269924,174.919950110312,175.28433418688803,73061700
2015-02-26,175.0524444580078,175.32573249787598,174.44789244416535,175.1683836897917,72697900
2015-02-27,174.4561767578125,175.21806492067336,174.4064903222998,174.95305374936794,108076000
2015-03-02,175.55760192871094,175.6155652234063,174.50585939965265,174.55554583408522,87491400
2015-03-03,174.83709716796875,175.60727475125827,173.97583621956494,175.12695152826169,110325800
2015-03-04,174.10006713867188,174.3153918714502,173.1311437504533,174.2408495827965,114497200
2015-03-05,174.2905731201172,174.57213804789114,173.7854065678499,174.42306608608567,76873000
2015-03-06,171.8393096923828,173.85997636794417,171.50805824634406,173.42933937894765,188128000
2015-03-09,172.5514373779297,172.90753189727454,171.88064527484585,172.03799406671536,89818900
2015-03-10,169.75238037109375,171.26788029001222,169.71097078362848,171.18507375151364,157121300
2015-03-11,169.35482788085938,170.18296884849192,169.27200872952477,170.00905368526062,110145700
2015-03-12,171.50804138183594,171.57428155538412,169.9345655767912,169.98425202516802,93993500
2015-03-13,170.45632934570312,172.19541853516677,169.42115269610557,171.23478420802988,162410900
2015-03-16,172.73367309570312,172.8247691226568,170.48112828051322,171.18505327392148,136099200
2015-03-17,172.22018432617188,172.60112205758392,171.4085971591291,171.99658274860482,94510400
2015-03-18,174.2905731201172,174.9613653571674,171.11050184470795,171.7481739993735,228808500
2015-03-19,173.49549865722656,174.29879624903566,173.10627146794067,173.8764489875753,117917300
2015-03-20,175.02694702148438,175.53436844942433,174.2616579764139,174.44466325815185,177715100
2015-03-23,174.6858673095703,175.6092074016342,174.6858673095703,175.03523752104957,71784500
2015-03-24,173.70431518554688,175.01860728358153,173.6377666615093,174.56110680667695,77805300
2015-03-25,171.15892028808594,174.14522727250312,171.11733855742628,173.91231373233074,159521700
2015-03-26,170.7512969970703,171.66631068398317,169.79467620136552,170.4934293880964,153067200
2015-03-27,171.14230346679688,171.31698228652505,170.44355010937383,170.63488193095372,118939000
2015-03-30,173.23020935058594,173.5296714446918,172.1571442508614,172.1737718668186,96180400
2015-03-31,171.7162322998047,173.10541228273007,171.65801026718879,172.4066590414967,126768700
2015-04-01,171.10902404785156,171.7079482482188,170.11913508633242,171.6829941309399,137303600
2015-04-02,171.72457885742188,172.1737656359064,170.85946053116376,171.0424658427631,86900900
2015-04-06,172.88082885742188,173.39656416417543,170.701418168536,170.83450255255133,114368200
2015-04-07,172.42335510253906,173.65447161345443,172.39008717212027,172.90582259706346,81236300
2015-04-08,173.005615234375,173.4464882354777,172.25696632117644,172.64793108711083,89351900
2015-04-09,173.77088928222656,174.0038028212306,172.3484539327972,172.83923512621033,85548900
2015-04-10,174.71913146972656,174.7607258805684,173.82075819826983,174.02039106177926,72722900
2015-04-13,173.92893981933594,175.2099769718649,173.87903158871407,174.5777722030921,74436600
2015-04-14,174.26165771484375,174.444662996307,173.10540399623537,173.72928217590538,75099900
2015-04-15,175.0435791015625,175.55100054245278,174.6443006097776,174.72748944644854,99529300
2015-04-16,174.9936981201172,175.50111964000402,174.51123071654968,174.71087633994063,68934900
2015-04-17,172.9806365966797,174.04538777213105,172.1987071756499,173.8041604387327,191113200
2015-04-20,174.56112670898438,174.89385667427484,173.82079174730367,173.903967892209,92189500
2015-04-21,174.35316467285156,175.4012754712299,174.05370263148143,175.2432242976131,72559800
2015-04-22,175.20993041992188,175.39293567880293,173.77084245755444,174.69418255724239,78264600
2015-04-23,175.65087890625,176.29971139703048,174.6942577878054,174.81071457607786,102585900
2015-04-24,176.05845642089844,176.32465059604635,175.60926961638245,176.06678292189486,61327400
2015-04-27,175.32640075683594,176.74883583330077,175.13506898499944,176.62406528021913,79358100
2015-04-28,175.8837432861328,175.9336515110271,174.12856545128815,175.3014595076419,86863500
2015-04-29,175.1601104736328,175.7590220766236,174.35322670544113,174.9937327414721,125684900
2015-04-30,173.40493774414062,174.97711089938906,172.70618424737742,174.5861460630137,161304900
2015-05-01,175.2847900390625,175.32638445049903,174.08694206955124,174.18675850273308,103399700
2015-05-04,175.78390502929688,176.366188735552,175.60089976549773,175.7090300084097,70927200
2015-05-05,173.77088928222656,175.90040444186292,173.62947839731953,175.5427076329979,113326200
2015-05-06,173.05548095703125,174.62765344280064,171.99072989221568,174.31987760631245,135060200
2015-05-07,173.74595642089844,174.17020182035276,172.6229830117935,172.95571305311998,88244900
2015-05-08,176.033447265625,176.2330928345655,175.33470681358264,175.41789564051606,155877300
2015-05-11,175.19332885742188,176.25808003936282,175.11846651482492,175.99189859029525,75708100
2015-05-12,174.66928100585938,175.20998313991484,173.53798119820593,174.36150511096568,119727600
2015-05-13,174.70254516601562,175.70074779807248,174.4696316416302,175.07686956643255,94667900
2015-05-14,176.52427673339844,176.61577938439606,175.4428852287453,175.71739318173817,95934000
2015-05-15,176.71559143066406,176.85700230725067,176.23312407316172,176.71559143066406,76510100
2015-05-18,177.26458740234375,177.51412851366834,176.48265807263678,176.5492065999346,74549700
2015-05-19,177.20640563964844,177.65560515994437,176.9235838337362,177.3810971626163,72114600
2015-05-20,177.08160400390625,177.830252816043,176.7655016333957,177.30619103184608,76857500
2015-05-21,177.5973358154297,177.80529522504963,176.7738119839141,176.9401896658781,64764600
2015-05-22,177.17311096191406,177.6306115288807,177.10656242477594,177.21469269139422,57433500
2015-05-26,175.2681884765625,177.1065552486118,174.85226965592858,176.68230992815077,124308600
2015-05-27,176.93186950683594,177.16478303853046,175.31810239949857,175.72570742638172,93214000
2015-05-28,176.73219299316406,176.84032323223988,176.04176637565863,176.62405006125587,74974600
2015-05-29,175.63421630859375,176.70728138630633,175.36803483753582,176.66569965442963,124919600
2015-06-01,175.9918670654297,176.63237280558556,175.20161128123357,176.2996428806431,93338800
2015-06-02,175.8172149658203,176.50764177283756,174.9105149284553,175.5343931970188,91531000
2015-06-03,176.28309631347656,176.90697477411013,175.79231497072638,176.34964487241825,87820900
2015-06-04,174.79405212402344,176.23312772649365,174.4779497504916,175.5759815578114,151882800
2015-06-05,174.4945526123047,175.16833894364447,173.8373938918091,174.644277266899,121704700
2015-06-08,173.42149353027344,174.53616552378108,173.3466311950418,174.38642816048372,89063300
2015-06-09,173.3965606689453,173.93726277294067,172.7643686058993,173.3965606689453,105034700
2015-06-10,175.47618103027344,175.858832002378,174.1036537400769,174.1618757856882,134551300
2015-06-11,176.0418243408203,176.42446259184706,175.68412751363977,175.91704106456993,73876400
2015-06-12,174.6942138671875,175.91701618303716,174.41970592966666,175.21827562907586,135382400
2015-06-15,173.9455108642578,174.2283325203897,172.84747945645518,173.55454628961573,124384200
2015-06-16,174.89389038085938,174.97707923463193,173.62117961372883,173.79585843667937,85308200
2015-06-17,175.1767120361328,175.7839627439491,174.15355513829485,175.1767120361328,126708600
2015-06-18,176.99838256835938,177.46420953838458,175.20993701711987,175.77558042562677,165867900
2015-06-19,176.21270751953125,176.83126628353637,175.8365622629324,176.7560397831322,130478700
2015-06-22,177.1154327392578,177.7005488974588,176.90646177171635,177.13215398794233,70696000
2015-06-23,177.24078369140625,177.5751448421762,176.8479300654339,177.32437716774217,68476800
2015-06-24,175.9535675048828,177.34949213933672,175.92849200731476,176.97334692123923,92307300
2015-06-25,175.4185791015625,176.58045710201526,175.34335261880636,176.45507963075502,97107400
2015-06-26,175.3851776123047,176.02044482664536,174.83349114074264,175.77803133706038,104174800
2015-06-29,171.7072296142578,175.39347982436033,171.6320031417022,173.90560784580808,202621300
